1	Accept
2	Decline
3	None
4	Solo
5	Party
6	Quest failed. Will automatically restart in a few moments.
7	Quest failed. Teleport out to try again.
8	Not Yet Unlocked
9	Required level:
10	Maximum level
11	Required quest:
12	You must first complete all preceding quests.
13	You must first complete at least one preceding quest.
14	This quest has no summary.
15	Location Unknown
16	Diminished quest reward for {QuestName}.
20	[Full]
21	[Your quest item space is full. Make room for more quest items by turning some in.]
22	Quest Line:
23	Recommended for: 
24	Main location:
25	Lv.
30	Hunt
31	Battlefield
32	Crafting
101	Find:
103	Destination:
104	Target:
106	Target(s):
107	Source:
108	Source:
111	To:
112	To:
114	Escort:
115	Protect:
117	Target(s):
118	Source:
120	Target:
207	To:
208	To:
210	To:
213	To:
300	Guild Quest Reward Coordinator
301	Interact
302	Earning Points
303	Successful Fishing
304	Adventure Coin
305	Production Point
306	Order Complete
400	Vanarch Guild
401	Guild level
402	Class
403	Race
404	Quest start:
405	Use {Itemname}
406	Received immediately
407	Received from {NpcName}
408	Already completed.
409	Not completed.
410	Urgent Orders from {TerritoryName}
501	Guardian Legion Mission
9901	idle1
9902	idle2
9903	idle3
9904	talk1
9905	talk2
9906	talk3
9907	victory
9908	applaud
9909	request
9910	worry
9911	shy
9912	angry
9913	sob
9914	greet
9915	taunt
9916	propose
9917	attack
9918	pointing
9919	dance
9920	smile
201001	Strife in the Fey Forest
201002	"On my way."
201003	Speak with Commander Samael.
201004	"I like that plan."
201005	Meet Legate Troius at the Velika Travel Control Office.
201006	"Thank you."
201007	Speak to Adela at the pegasus platform.
201008	"Got it."
201009	Speak to Daven in Lumbertown.
201010	"I'll bring you some."
201011	Speak to Klaon in the refugee camp.
201012	"I'll wait."
201013	Gather artful gracebloom across the northern bridge from Lumbertown.
201014	Bring the gracebloom to Klaon.
201015	"You can count on me."
201016	Get the potions from Klaon.
201017	"Drink this."
201018	Take the potion to a sick refugee.
201019	"This might help."
201020	Offer the potion to a sick refugee.
201021	"I brought this medicine."
201022	Offer the potion to a sick refugee.
201023	"How does this make you feel?"
201024	Offer the potion to a sick refugee.
201025	"I'll do what I can."
201026	Report back to Klaon.
201027	Klaon the Arcanist
201028	Herbal Potion
201029	Deliver potion to Verus at the Woodcutter Palisade.
201030	"Thanks, I'll look there."
202001	Faeries in a Fix
202002	Centurion Verus
202003	Artful Graceblooms
202004	Deliver the graceblooms to Maon at his cabin.
202005	"Who's Lillix?"
202006	Keta
202007	Gracebloom Essence
202008	Take the gracebloom essence to Lillix at Faevine Vale Camp.
202009	"What made Seravy so violent?"
202010	Defeat Seravy, then meet him at the Faerie Pond.
202011	"Thank you, Seravy."
202012	Speak with Seravy.
202013	Seravy
202014	Unicorn Tear
202015	Take the unicorn tear to Volos.
202016	"We must all work together."
203001	Dark Hunger
203002	"I'll take them out."
203003	Speak to Klaon at Aron's Camp.
203004	Destroy the vortex shards.
203005	Kill Garkior.
203006	"For the federation!"
203007	Deliver the sealed scroll to Arcanist Klaon at Aron's Camp.
203008	Deliver the sealed scroll to Arcanist Klaon at Aron's Camp.
212001	Another Test for the Worthy Gunner [Bonus]
212002	Defeat Nightmare RK-9 in RK-9 Kennel (Hard) and Nightmare Lachelith in Ruinous Manor (Hard) once each.
212003	"Thanks."
212004	Talk to Omeros in Highwatch.
213001	[Event] Victorious in Corsairs' Stronghold
213002	Win 3 battles in Corsairs' Stronghold
213004	"Thanks."
213005	Talk to Omeros in Highwatch.
214001	[Event] Victorious in Fraywind Canyon
214002	Win 3 battles in Fraywind Canyon
214004	"Thanks."
214005	Talk to Omeros in Highwatch.
221001	Fool in the Forest
221002	And tell him, "No excuses this time."
221003	I sure hope you can help.
221004	Lennert
221005	Bridge Repair Tools
221006	Deliver bridge repair tools to Weldon at Woodcutter Palisade.
221007	"I'm here to help!"
222001	Live Another Life
222002	Take the timber to Weldon
222003	That's a lot of timber. Thanks.
222004	"For the federation!"
222005	Gather the cut timber from the stacks near Woodcutter Palisade.
222006	Deliver the cut timber to Weldon at the Woodcutter Palisade.
223001	Ribs to Spare
223002	Hunt warthogs near Woodcutter Palisade.
223003	This well feed a lot of people.
223004	Warthog Meat
223005	Collect meat from nearby warthogs.
223006	Deliver the meat to Audburn at the Woodcutter Palisade.
223007	"Anything else?"
224001	Preserved Meat
224002	Use the salt on the meat to cure it.
224003	Now we've plenty to eat, and plenty to put up for later.
224004	"Acknowledged."
224005	Go to Centurion Verus at the Woodcutter Palisade.
224006	"For the federation!"
224007	Use the barrel and salt to cure the meat.
224008	Deliver the salted meat to Einna.
225001	The Path to Peace
225002	Reindal should have some ideas that will help.
225003	I'm glad you're here. We need the help.
225004	"I can help."
225005	Go to Reindal at Maon's Cabin.
226001	Maon's Domain
226002	Don't make any promises you can't keep, though.
226003	"I promise."
226004	"I'll do my best."
226005	Chat with Phonon and then talk to Maon.
227001	Ham on the Lam
227002	"Sure thing."
227003	Talk to Maon to see how you can help.
227004	Pull out the dart.
227005	Oink, oink, snuffle!
227006	Use pheremone darts to tame piglings and lead them to Maon.
227007	"I'm happy to help."
227008	Speak with Maon.
228001	Phonon's Flight of Fancy
228002	It's a game of tag...with faeries.
228003	Faerie dust! Thanks!
228004	Faerie Dust
228005	Hunt the faeries near Maon's Cabin to recover Phonon's faerie dust.
228006	Bring the faerie dust back to Phonon.
228007	"Fun game, kid."
229001	The Tooth, the Whole Tooth
229002	Hunt slinking sabertooths near Maon's cabin.
229003	I feel safer already.
229004	Sabertooth Teeth
229005	Hunt the slinking sabertooths and collect their teeth.
229006	Report to Reindal.
229007	"Thanks."
230001	The Southern Forest
230002	Meet Balter at the deserted homestead.
230003	Thanks for coming to help me.
230004	"What can I do?"
230005	Meet Balter at the deserted homestead.
231001	The Mane Event
231002	Hunt nearby centaurs and centaur insurgents.
231003	Now I can fell some trees.
231004	Centaur Mane
231005	Hunt the centaurs and centaur insurgents for their manes.
231006	Bring the manes to Balter.
231007	"Glad I could help."
232001	Pluck Their Wings
232002	Kill the faeries that are interfering with lumbering.
232003	Now I can get back to work.
232004	Faerie Analysis
232005	Collect wings from faeries.
232006	Report to Keta.
232007	"Happy to help out."
233001	A Measure of Vengeance
233002	Likhan is a killer!
233003	Thank you for avenging my father.
233004	Come closer...and I'll kill you!
233005	What have I done? Nooooooo!
233006	Kill Likhan the centaur in the southwestern part of the Fey Forest.
233007	"For the federation!"
233008	Report to Serra at the deserted homestead.
234001	That Confounded Bridge
234002	Deliver the tools to Siravon at the bridge near Faevine Vale.
234003	Thanks to the tools you brought, I can do some work now.
234004	Balter
234005	Bridge Tools
234006	Deliver the tools to Siravon at the bridge near Faevine Vale.
234007	"For the federation!"
235001	Much Ado About Mushrooms
235002	"Happy to help!"
235003	Collect cloud mushrooms at Faevine Vale.
235004	Deliver the mushrooms to Hemming at the Faevine Vale Camp.
236001	Parts Unknown
236002	Get my bridge parts back from those redcaps!
236003	Thanks!
236004	Bridge Parts
236005	Retrieve the bridge parts from the redcaps.
236006	Deliver the bridge parts to Niklas at the Faevine Vale Camp.
236007	"For the federation!"
237001	Preemptive Strike
237002	Something must be done about the rampaging faeries!
237003	It's better this way, but still sad.
237004	Faerie Sword
237005	Eliminate the faeries around the Faevine Vale Camp and collect their swords.
237006	Bring the swords to Lillix.
237007	"I honor their memory."
238001	Hunting the Big Cats
238002	Go take out some hulking sabertooths.
238003	You did an excellent job.
238004	Hunt hulking sabertooths around Faevine Vale Camp.
238005	"Just doing my part."
238006	Report to Teroz at Faevine Vale Camp.
239001	The Storm Has Passed
239002	They'll welcome the news.
239003	Thank you for coming here to tell us.
239004	"Thank the federation for me!"
239005	"We'll do what we can."
239006	Meet the faeries at the Faerie Pond.
240001	A Brutal Sort of Mercy
240002	Be merciful.
240003	It hurts to see their spirits corrupted.
240004	Unicorn Horn
240005	End the suffering of the sullen and feral unicorns and collect their horns.
240006	Deliver the unicorn horns to Aeir.
240007	"I did what needed to be done."
241001	An Errand to Aron
241002	Talk with Nemir at Aron's Camp.
241003	Thank you for helping us.
241004	"I can help!"
241005	Go to Nemir at Aron's Camp to the west.
242001	The Last Argument
242002	Please bring my sister back!
242003	Oh, no... Jerelyn...!
242004	"Rest in peace."
242005	Find Jerelyn in the forest to the southwest.
242006	Jerelyn's Necklace
242007	Hunt sporewalkers and terron lunatics until you recover Jerelyn's Necklace.
242008	Take the necklace to Jessalin.
242009	"My condolences."
243001	Hazardous Hunting
243002	Hunt sporewalkers and terrons for the seals they carry.
243003	Well done! And fast!
243004	Polluted Seals
243005	Gather seals from the remains of sporewalkers and terrons.
243006	Deliver the seals to Kadhim at Aron's Camp.
243007	"For the federation!"
244001	The Faerie Emissary
244002	You could save Himir's life!
244003	Nice work!
244004	Escort
244005	Thank you!
244006	Teleport to the Woodland Path and escort Himir to safety across the bridge.
244007	"I did my duty."
244008	Talk to Nenuel.
244009	"Thank you."
244010	Report to Lymei.
250001	The tree behind me is the World Tree!
250002	The World Tree and the Tower of Shara are the two pillars of this world.
250021	You know,
250022	I want this world's Zolyn to smile more often.
250023	I'm happy just to watch her from a distance like this.
270001	Suppression Orders: Sabertooths (Guild)
270002	Proof of Kill: Sabertooths
270003	"Reporting in!"
270004	Hunt slinking sabertooths in the Fey Forest.
270005	Report to Zandra in Lumbertown.
271001	Suppression Orders: Centaurs (Guild)
271002	Proof of Kill: Centaurs
271003	"For the federation!"
271004	Defeat centaurs in the Fey Forest.
271005	Report to Zandra in Lumbertown when mission is complete.
272001	Rise of the Dead
272002	We need you to gather some rather...specialized materials.
272003	OK
272004	Gather the materials necessary to craft an Ancient Scroll!
272005	Return to Okon in Popolion
273001	Secrets of Zuras
273003	OK
273004	Gather the indicated materials and recieve a random reward chest!
273005	Return to Okon in Popolion
301001	Devan Uprising
301002	"Got it."
301003	"I won't let you down."
301004	Talk to Neacal again.
301005	"Right. Okay."
301006	Talk to Neacal about your new weapon.
301007	"I understand."
301008	Talk to Neacal again.
301009	Stonebeaks
301010	Hunt Stonebeak.
301011	"I hope you like it."
301012	Find Chama east of Bulwark Camp in Oblivion Woods.
302001	Pulling Back the Veil
302002	"I will do this!"
302003	"I'm on my way!"
302004	Talk to Kamia again.
302005	"We're not leaving you behind!"
302006	Kill devan brigands and rescue Kantusa.
302007	"Are you sure? Tell me what happened."
302008	Talk to Kantusa at the rendezvous.
302009	"Don't try to talk. We'll patch you up."
302010	Talk to Kantusa again.
302011	"You can count on me."
302012	Talk to Kamia.
302013	Guards! Enemies in the tower!
302014	This is not over yet...
302015	Defeat {@linkcreature:3#7#Dakanius} in the Devan Encampment.
302016	Scion Token
302017	Show Dakanius's token to Kamia.
302018	"I hope you like it."
303001	Isolated Town
303002	There's a lot to do from here on.
303003	"As ordered."
303004	Go ask Dougal.
303005	Go ask Getty.
303006	Go ask Uriela.
303007	Speak with Commander Samael.
303008	"You can count on me."
303009	"I won't let you down."
303010	Speak with {@linkcreature:63#1160#Dougal}.
303011	"I'm on my way."
303012	Speak with the Flight Manager.
303013	"I got this."
303014	Say hello to Ferus in Crescentia for Dougal.
303015	"Count on it."
303016	Use the teleportal to go to Bulwark Camp in Oblivion Woods.
303017	"I'll take care of it."
303018	Report to Neacal at Bulwark Camp in Oblivion Woods.
303019	"Don't worry. I'll take care of it."
303020	Gather Sorrow Flowers.&#xA[Press <img src='img://__Icon_KeyboardShape.Keyboard_I' width='18' height='18' vspace='-6'/> key to open inventory and right-click the Crude Sickle to improve your gathering speed.]
303021	Deliver Sorrow Flowers to Neacal.
303022	"I'm here to help."
303023	Speak with Getty.
303024	Press <img src='img://__Icon_KeyboardShape.Keyboard_I' width='18' height='18' vspace='-6'/> to open inventory and find Getty's Teleportal Scroll to use.
303025	Used a Teleport Scroll!
303026	"I won't let you down."
303027	Speak with the Magistrate and gather information.
303028	"Got it."
303029	Speak with Latton.
303030	Defeat Slinking Sabertooths.
303031	"I can take care of it."
303032	Gather Sorrow Flowers.&#xA[Press <img src='img://__Icon_KeyboardShape.Keyboard_I' width='18' height='18' vspace='-6'/> key to open inventory and right-click the Crude Sickle to improve your gathering speed.]
303033	Deliver the Sorrow Flowers and medicine to Neacal.
303034	"Come on, soldier. The centurion's watching..."
303035	Give the wounded soldier some medicine.
303036	"Come on, soldier. The centurion's watching..."
303037	Give the medicine to the other wounded soldier.
303038	"Thanks."
303039	Report to Uriela at Valkyon Federation Headquarters.
303040	Bulwark Camp in Oblivion Woods
303041	Arrived at Bulwark Camp in Oblivion Woods
303042	Press <img src='img://__Icon_KeyboardShape.Keyboard_I' width='18' height='18' vspace='-6'/> to open inventory and find Teleportal Scroll: Bulwark Camp in Oblivion Woods to use.
303043	"I got it."
303044	Report to Neacal at Bulwark Camp in Oblivion Woods.
303045	Defeat Slinking Sabertooths.
303046	"Don't worry. I'll take care of it."
303047	Gather Sorrow Flowers.&#xA[Press <img src='img://__Icon_KeyboardShape.Keyboard_I' width='18' height='18' vspace='-6'/> key to open inventory and right-click the Crude Sickle to improve your gathering speed.]
303048	Deliver Sorrow Flowers to Neacal.
303049	Sorrow Flower
303050	Give the wounded soldier the Sorrow Flower poultice.
303051	"Come on, soldier. The centurion's watching..."
303052	Sorrow Flower
303053	Give the other wounded soldier the Sorrow Flower poultice.
303054	"Come on, soldier. The centurion's watching..."
303055	"I got it."
303056	Report to Neacal.
304001	Find the Captain
304002	"I understand."
304003	Talk to Chama again.
304004	Devan Scouts
304005	Defeat the {@linkcreature:3#300151#Devan Scouts}.
304006	"I understand."
304007	Talk to Chama.
304008	Stolen Money Bag
304009	Kill Devan Ruffians and retrieve Stolen Money Bags.
304010	Return the bags to Chama.
304011	"I understand."
304012	Assualt Leaders
304013	These woods are mine!
304014	Aagh! H-how...?
304015	Prepare to die!
304016	Master Dakanius...!
304017	Defeat the {@linkcreature:3#13#Assault Leaders}.
304018	"I understand."
304019	Retrieve the Merchant's Chest.
304020	Find Chama east of Bulwark Camp in Oblivion Woods.
304021	Kill Agitated Sporewalkers on your way to Crescentia.
304022	Merchant's Chest
304023	Report to Jodoc.
304024	"I hope you like it."
305001	To the Devan Encampment
305002	"You can count on me."
305003	"As ordered."
305004	Speak to Justarius at the entrance to Crescentia.
305005	"Let's go."
305006	It's that white tent! Right over there!
305007	Select a Keener Conscript and follow him.<br>[Protect Keener Conscript and don't let him die.]
305008	"Happy to help, sir."
305009	Talk to Primus Hendry.
306001	Sinister Ritual
306002	"You can count on me."
306003	Devan Encampment Entrance
306004	Somebody came!
306005	Go to the place where Secret Agents managed to infiltrate.
306006	"I'll handle it."
