10100	Common	Common	Archer	Flèche I			icon_skills.arrowshot_tex
10200	Common	Common	Archer	Flèche II			icon_skills.arrowshot_tex
10300	Common	Common	Archer	Flèche III			icon_skills.arrowshot_tex
10400	Common	Common	Archer	Flèche IV			icon_skills.arrowshot_tex
10500	Common	Common	Archer	Flèche V			icon_skills.arrowshot_tex
10600	Common	Common	Archer	Flèche VI			icon_skills.arrowshot_tex
10700	Common	Common	Archer	Flèche VII			icon_skills.arrowshot_tex
10800	Common	Common	Archer	Flèche VIII			icon_skills.arrowshot_tex
10900	Common	Common	Archer	Flèche IX			icon_skills.arrowshot_tex
11000	Common	Common	Archer	Flèche X			icon_skills.arrowshot_tex
11100	Common	Common	Archer	Flèche XI			icon_skills.arrowshot_tex
11200	Common	Common	Archer	Flèche XII			icon_skills.arrowshot_tex
20100	Common	Common	Archer	Volée de flèches I			icon_skills.arrowshower_tex
20110	Common	Common	Archer	Volée de flèches I			icon_skills.arrowshower_tex
20200	Common	Common	Archer	Volée de flèches II			icon_skills.arrowshower_tex
20210	Common	Common	Archer	Volée de flèches II			icon_skills.arrowshower_tex
20300	Common	Common	Archer	Volée de flèches III			icon_skills.arrowshower_tex
20310	Common	Common	Archer	Volée de flèches III			icon_skills.arrowshower_tex
20400	Common	Common	Archer	Volée de flèches IV			icon_skills.arrowshower_tex
20410	Common	Common	Archer	Volée de flèches IV			icon_skills.arrowshower_tex
20500	Common	Common	Archer	Volée de flèches V			icon_skills.arrowshower_tex
20510	Common	Common	Archer	Volée de flèches V			icon_skills.arrowshower_tex
20600	Common	Common	Archer	Volée de flèches VI			icon_skills.arrowshower_tex
20610	Common	Common	Archer	Volée de flèches VI			icon_skills.arrowshower_tex
20700	Common	Common	Archer	Volée de flèches VII			icon_skills.arrowshower_tex
20710	Common	Common	Archer	Volée de flèches VII			icon_skills.arrowshower_tex
20800	Common	Common	Archer	Volée de flèches VIII			icon_skills.arrowshower_tex
20810	Common	Common	Archer	Volée de flèches VIII			icon_skills.arrowshower_tex
20900	Common	Common	Archer	Volée de flèches IX			icon_skills.arrowshower_tex
20910	Common	Common	Archer	Volée de flèches IX			icon_skills.arrowshower_tex
21000	Common	Common	Archer	Volée de flèches X			icon_skills.arrowshower_tex
21010	Common	Common	Archer	Volée de flèches X			icon_skills.arrowshower_tex
21100	Common	Common	Archer	Volée de flèches XI			icon_skills.arrowshower_tex
30100	Common	Common	Archer	Flèche irradiante I			icon_skills.chargearrow_tex
30200	Common	Common	Archer	Flèche irradiante II			icon_skills.chargearrow_tex
30300	Common	Common	Archer	Flèche irradiante III			icon_skills.chargearrow_tex
30400	Common	Common	Archer	Flèche irradiante IV			icon_skills.chargearrow_tex
30500	Common	Common	Archer	Flèche irradiante V			icon_skills.chargearrow_tex
30600	Common	Common	Archer	Flèche irradiante VI			icon_skills.chargearrow_tex
30700	Common	Common	Archer	Flèche irradiante VII			icon_skills.chargearrow_tex
30800	Common	Common	Archer	Flèche irradiante VIII			icon_skills.chargearrow_tex
30900	Common	Common	Archer	Flèche irradiante IX			icon_skills.chargearrow_tex
31000	Common	Common	Archer	Flèche irradiante X			icon_skills.chargearrow_tex
31100	Common	Common	Archer	Flèche irradiante XI			icon_skills.chargearrow_tex
40100	Common	Common	Archer	Flèche pénétrante I			icon_skills.througharrow_tex
40200	Common	Common	Archer	Flèche pénétrante II			icon_skills.througharrow_tex
40300	Common	Common	Archer	Flèche pénétrante III			icon_skills.througharrow_tex
40400	Common	Common	Archer	Flèche pénétrante IV			icon_skills.througharrow_tex
40500	Common	Common	Archer	Flèche pénétrante V			icon_skills.througharrow_tex
40600	Common	Common	Archer	Flèche pénétrante VI			icon_skills.througharrow_tex
40700	Common	Common	Archer	Flèche pénétrante VII			icon_skills.througharrow_tex
40800	Common	Common	Archer	Flèche pénétrante VIII			icon_skills.througharrow_tex
40900	Common	Common	Archer	Flèche pénétrante IX			icon_skills.througharrow_tex
41000	Common	Common	Archer	Flèche pénétrante X			icon_skills.througharrow_tex
41100	Common	Common	Archer	Flèche pénétrante XI			icon_skills.througharrow_tex
41200	Common	Common	Archer	Flèche pénétrante XII			icon_skills.througharrow_tex
50100	Common	Common	Archer	Pluie de flèches I			icon_skills.arrowfall_tex
50200	Common	Common	Archer	Pluie de flèches II			icon_skills.arrowfall_tex
50300	Common	Common	Archer	Pluie de flèches III			icon_skills.arrowfall_tex
50400	Common	Common	Archer	Pluie de flèches IV			icon_skills.arrowfall_tex
50500	Common	Common	Archer	Pluie de flèches V			icon_skills.arrowfall_tex
50600	Common	Common	Archer	Pluie de flèches VI			icon_skills.arrowfall_tex
50700	Common	Common	Archer	Pluie de flèches VII			icon_skills.arrowfall_tex
50800	Common	Common	Archer	Pluie de flèches VIII			icon_skills.arrowfall_tex
50900	Common	Common	Archer	Pluie de flèches IX			icon_skills.arrowfall_tex
51000	Common	Common	Archer	Pluie de flèches X			icon_skills.arrowfall_tex
60100	Common	Common	Archer	Retraite			icon_skills.backstep_tex
70100	Common	Common	Archer	Mort feinte I			icon_skills.feigndeath_tex
70200	Common	Common	Archer	Mort feinte II			icon_skills.feigndeath_tex
70300	Common	Common	Archer	Mort feinte III			icon_skills.feigndeath_tex
80100	Common	Common	Archer	Rafale de flèches I			icon_skills.rapidshot_tex
80200	Common	Common	Archer	Rafale de flèches II			icon_skills.rapidshot_tex
80300	Common	Common	Archer	Rafale de flèches III			icon_skills.rapidshot_tex
80400	Common	Common	Archer	Rafale de flèches IV			icon_skills.rapidshot_tex
80500	Common	Common	Archer	Rafale de flèches V			icon_skills.rapidshot_tex
80600	Common	Common	Archer	Rafale de flèches VI			icon_skills.rapidshot_tex
80601	Common	Common	Archer	Rafale de flèches VI			icon_skills.rapidshot_tex
80611	Common	Common	Archer	Rafale de flèches VI			icon_skills.rapidshot_tex
90100	Common	Common	Archer	Piège paralysant I			icon_skills.webtrap_tex
90200	Common	Common	Archer	Piège paralysant II			icon_skills.webtrap_tex
90300	Common	Common	Archer	Piège paralysant III			icon_skills.webtrap_tex
