1	Speed	Debuff	False	seta	100000	0	0.1	Clear Conscience	48001	Clear Conscience	Decreases Power and Attack to $H_W_BAD$value$COLOR_END.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Stun	Buff	False	seta	180000000	0	100	Promo BAM Buff	48001	Promo BAM Buff	Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Speed	Buff	False	seta	180000000	0	100	Promo BAM Buff	48001	Promo BAM Buff	Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
3	21	Buff	False	seta	1800000	0	0	TEST_NoNaturalMPRegeneration	48002	TEST_NoNaturalMPRegeneration	No natural MP regeneration! For 30 minutes! BTS needed if this message is displayed.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
4	211	Buff	False	seta	3600000	0	4	Stun Bomb	48003	Stun Bomb	Stun effect	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
4	211	Buff	False	seta	3600000	0	5	Stun Bomb	48003	Stun Bomb	Stun effect	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
5	241	Buff	False	seta	100000	0	0	Non-Effect Debuff	48001	Non-Effect Debuff	Non-effect debuff	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
6	245	Buff	False	seta	100000	0	0	Damage Absolute Invincibility	48002	Damage Absolute Invincibility	Damage absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	245	Buff	False	seta	100000	0	0	Damage Half Invincibility	48003	Damage Half Invincibility	Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	211	Buff	False	seta	100000	0	5	Damage Half Invincibility	48003	Damage Half Invincibility	Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
8	245	Buff	False	seta	100000	0	0	Debuff Absolute Invincibility	48004	Debuff Absolute Invincibility	Debuff absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
9	245	Buff	False	seta	100000	0	0	Debuff Half Invincibility	48005	Debuff Half Invincibility	Debuff half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	245	Buff	False	seta	100000	0	0	Reaction Absolute Invincibility	48006	Reaction Absolute Invincibility	Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	287	Buff	False	seta	100000	0	0	Reaction Absolute Invincibility	48006	Reaction Absolute Invincibility	Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	246	Buff	False	seta	60000	0	6	Stone	48007	Stone	Stone	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	245	Buff	False	seta	60000	0	0	Stone	48007	Stone	Stone	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	287	Buff	False	seta	60000	0	0	Stone	48007	Stone	Stone	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
12	245	Buff	False	seta	10000	0	0	Vortex	48007	Vortex	Vortex	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
12	287	Buff	False	seta	10000	0	0	Vortex	48007	Vortex	Vortex	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
12	246	Buff	False	seta	10000	0	5	Vortex	48007	Vortex	Vortex	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
12	247	Buff	False	seta	10000	0	100	Vortex	48007	Vortex	Vortex	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
13	245	Buff	False	seta	60000	0	0	Unchained Goddess	48007	Unchained Goddess	Unchained goddess	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
13	287	Buff	False	seta	60000	0	0	Unchained Goddess	48007	Unchained Goddess	Unchained goddess	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
15	27	Buff	False	seta	600000	0	10	Blessing of Zenobia	1	Blessing of Zenobia	Increases noncombat Movement Speed by $H_W_GOOD$value$COLOR_END.	icon_skills.fastwalk_tex	icon_skills.fastwalk_tex	True
21	103	Buff	False	seta	900000	0	10	Chasing and Hunting_Reaction_Resistance Test	6448	Chasing and Hunting_Reaction_Resistance Test	Increases the chance of reaction resistance 10 times.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
22	22	Buff	False	seta	1200000	0	1.4	Test_Increased Skill Damage	48001	Test_Increased Skill Damage	Test only: Increases all skill damage by 40%!	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
23	167	Buff	False	seta	60000	0	1	Automatic Critical Hits	48008	Automatic Critical Hits	All your attacks are critical hits.$BRTest Only			True
